"Enddatetime","TimerName","UserName","Event_ID"
"26/10/2016 20:50:25","USR:REGIMENS.DISPLAY REGIMEN","LLOCKE",870
"26/10/2016 20:51:41","CAP:ORM.NEWORDERMISSINGREQUIREDDETAILS","LLOCKE",713
"26/10/2016 20:51:53","CAP:MPG DETAILED REVIEW SUBSECTION - CLICK NAVIGATOR LINK","LLOCKE",689
"26/10/2016 20:52:26","USR:MPG.ORDERS.O1 - LOAD COMPONENT","LLOCKE",784
"26/10/2016 20:53:38","USR: PROCESS DISCERN ALERTS","VPONNEQUIN",1312
"26/10/2016 20:54:44","USR:PWR-SWITCHFRAME","LLOCKE",850
"26/10/2016 20:54:45","USR: START CHART","LLOCKE",746
"26/10/2016 20:55:06","USR:IPV.SHOW IMAGE","LLOCKE",754
"26/10/2016 20:55:46","USR:IPV.SHOW IMAGE","LLOCKE",754
"26/10/2016 20:55:46","USR: CLINICAL NOTES: LOAD NOTE","LLOCKE",729
"26/10/2016 20:56:22","USR:PWR - REFRESH FLOWSHEET DATA","LLOCKE",853
"26/10/2016 20:56:24","USR:PWR - REFRESH FLOWSHEET DATA","LLOCKE",853
"26/10/2016 20:56:24","USR:PWR-SHOW VIEW","LLOCKE",849
"26/10/2016 20:56:24","USR:PWR-LOAD FLOWSHEET DATA V2","LLOCKE",846
"26/10/2016 20:56:28","USR: PROCESS DISCERN ALERTS","LLOCKE",743
"26/10/2016 20:57:07","USR:PWR.PVINBOX.OPEN CONFIGURATION","LLOCKE",865
"26/10/2016 20:57:07","USR:PWR-SWITCHFRAME","LLOCKE",850
"26/10/2016 20:57:30","USR: PROCESS DISCERN ALERTS","LLOCKE",743
"26/10/2016 20:58:51","USR: START CHART","VPONNEQUIN",1314
"26/10/2016 21:01:30","USR: PROCESS DISCERN ALERTS","LLOCKE",743
"26/10/2016 21:01:32","USR:MPG.ORDERS.O1 - LOAD COMPONENT","LLOCKE",784
"26/10/2016 21:01:32","USR:MPG.HOME_MEDS.O2 - LOAD COMPONENT","LLOCKE",773
"26/10/2016 21:05:01","USR:PWR-CLOSECHART","VPONNEQUIN",1390
"26/10/2016 21:05:01","USR: PROCESS DISCERN ALERTS","VPONNEQUIN",1312
"26/10/2016 21:06:41","USR: START CHART","BMOORE005",247
"26/10/2016 21:06:45","USR: DOCV: LOAD DOCUMENT VIEWER","BMOORE005",240
"26/10/2016 21:07:54","CKPT:WINDOWSSESSIONMONITOR-ALL","BMOORE005",231
"26/10/2016 21:14:31","USR:MPG.HOME_MEDS.O2 - LOAD COMPONENT","VPONNEQUIN",1336
"26/10/2016 21:16:34","USR:MPG.ADDPREGNANCY.O2 - LOAD COMPONENT","BMOORE005",257
"26/10/2016 21:18:12","CKPT:WINDOWSSESSIONMONITOR-ALL","VPONNEQUIN",1294
"26/10/2016 21:19:26","USR:PWR-SWITCHFRAME","LLOCKE",850
"26/10/2016 21:19:32","USR:PWR.PVINBOX.OPEN CONFIGURATION","LLOCKE",865
"26/10/2016 21:19:40","USR:PWR-CREATE VIEW","LLOCKE",844
"26/10/2016 21:19:58","USR:MPG.DOCUMENTATION_ROS.O1 - LOAD COMPONENT","LLOCKE",771
"26/10/2016 21:20:45","CAP:MPG_CONSOLIDATED_PROBLEMS_02_SELECT_DIAGNOSIS_PROBLEM_SEARCH_WINDOW","LLOCKE",708
"26/10/2016 21:21:35","USR:PWR-SHOW VIEW","VPONNEQUIN",1397
"26/10/2016 21:21:39","USR:MPG.DOCUMENTATION_PE.O1 - LOAD COMPONENT","VPONNEQUIN",1333
"26/10/2016 21:24:52","CAP:ORM.NEWORDERMISSINGREQUIREDDETAILS","LLOCKE",713
"26/10/2016 21:24:52","USR:ORM.GETTHERAPEUTICSUBSTITUTIONS","LLOCKE",807
"26/10/2016 21:24:53","USR: PROCESS DISCERN ALERTS","LLOCKE",743
"26/10/2016 21:24:59","USR:PWR-SHOW VIEW","VPONNEQUIN",1397
